Title,Movie Link,Year,Duration,MPA,Rating,Votes
212. Heights,https://www.imdb.com/title/tt0382073/?ref_=sr_t_212,2005,1h 33m,R,6.8,4.9K
213. Undiscovered,https://www.imdb.com/title/tt0434424/?ref_=sr_t_213,2005,1h 37m,PG-13,4.2,3K
214. Joyeux Noel,https://www.imdb.com/title/tt0424205/?ref_=sr_t_214,2005,1h 56m,PG-13,7.6,33K
215. Leonard Cohen: I'm Your Man,https://www.imdb.com/title/tt0478197/?ref_=sr_t_215,2005,1h 45m,PG-13,6.8,2.4K
216. Hard Candy,https://www.imdb.com/title/tt0424136/?ref_=sr_t_216,2005,1h 44m,R,7.0,171K
217. The Beat That My Heart Skipped,https://www.imdb.com/title/tt0411270/?ref_=sr_t_217,2005,1h 48m,Not Rated,7.2,21K
218. Garam Masala,https://www.imdb.com/title/tt0453671/?ref_=sr_t_218,2005,2h 26m,Not Rated,6.8,18K
219. Mangal Pandey,https://www.imdb.com/title/tt0346457/?ref_=sr_t_219,2005,2h 30m,,6.5,11K
220. Bunty Aur Babli,https://www.imdb.com/title/tt0448206/?ref_=sr_t_220,2005,2h 50m,Not Rated,6.2,8.3K
221. Separate Lies,https://www.imdb.com/title/tt0369053/?ref_=sr_t_221,2005,1h 25m,R,6.4,4.9K
222. Heading South,https://www.imdb.com/title/tt0381690/?ref_=sr_t_222,2005,1h 48m,Unrated,6.3,2.9K
223. Looking for Comedy in the Muslim World,https://www.imdb.com/title/tt0433116/?ref_=sr_t_223,2005,1h 38m,PG-13,5.5,3.5K
224. Venom,https://www.imdb.com/title/tt0428251/?ref_=sr_t_224,2005,1h 27m,R,4.6,11K
225. Where the Truth Lies,https://www.imdb.com/title/tt0373450/?ref_=sr_t_225,2005,1h 47m,Unrated,6.4,19K
226. Duma,https://www.imdb.com/title/tt0361715/?ref_=sr_t_226,2005,1h 40m,PG,7.1,8.7K
227. Mirrormask,https://www.imdb.com/title/tt0366780/?ref_=sr_t_227,2005,1h 41m,PG,6.7,24K
228. Breakfast on Pluto,https://www.imdb.com/title/tt0411195/?ref_=sr_t_228,2005,2h 8m,R,7.2,25K
229. The Thing About My Folks,https://www.imdb.com/title/tt0429177/?ref_=sr_t_229,2005,1h 36m,PG-13,6.5,2.4K
